ID,Jumbo_Img,Fancy_Img,No1_Img,Jumbo_Roll,Fancy_Roll,No1_Roll,farmer_fancy_img,farmer_fancy_roll
21-EBI-Comrade-1.csv,0.367346939,0.326530612,0.306122449,0.56,0.18,0.26,0.693877551,0.74
21-EBI-Comrade-2.csv,0.272727273,0.25,0.477272727,0.318181818,0.295454545,0.386363636,0.522727273,0.613636363
21-EBI-Comrade-3.csv,0.326530612,0.224489796,0.448979592,0.36,0.3,0.34,0.551020408,0.66
21-EBI-N14001-1.csv,0.098039216,0.352941176,0.549019608,0.156862745,0.176470588,0.666666667,0.450980392,0.333333333
21-EBI-N14001-2.csv,0.18,0.36,0.46,0.14,0.28,0.58,0.54,0.42
21-EBI-N14001-3.csv,0.2,0.26,0.54,0.14,0.24,0.62,0.46,0.38
21-EBI-N14007-1.csv,0.1,0.24,0.66,0.08,0.26,0.66,0.34,0.34
21-EBI-N14007-2.csv,0.1,0.32,0.58,0.12,0.2,0.68,0.42,0.32
21-EBI-N14007-3.csv,0.06,0.18,0.76,0.08,0.08,0.84,0.24,0.16
21-EBI-N14009-1.csv,0.32,0.28,0.4,0.18,0.38,0.44,0.6,0.56
21-EBI-N14009-2.csv,0.2,0.34,0.46,0.14,0.3,0.56,0.54,0.44
21-EBI-N14009-3.csv,0.24,0.36,0.4,0.22,0.36,0.42,0.6,0.58
21-EBI-N14017-1.csv,0.282608696,0.260869565,0.456521739,0.239130435,0.260869565,0.5,0.543478261,0.5
21-EBI-N14017-2.csv,0.1,0.36,0.54,0.12,0.28,0.6,0.46,0.4
21-EBI-N14017-3.csv,0.18,0.36,0.46,0.2,0.26,0.54,0.54,0.46
21-EBI-N14027-1.csv,0.115384615,0.269230769,0.615384615,0.115384615,0.288461538,0.596153846,0.384615384,0.403846153
21-EBI-N14027-2.csv,0.16,0.18,0.66,0.1,0.22,0.68,0.34,0.32
21-EBI-N14027-3.csv,0.1,0.28,0.62,0.1,0.22,0.68,0.38,0.32
21-EBI-N17036-1.csv,0.38,0.3,0.32,0.42,0.2,0.38,0.68,0.62
21-EBI-N17036-2.csv,0.14,0.42,0.44,0.16,0.4,0.44,0.56,0.56
21-EBI-N17036-3.csv,0.28,0.36,0.36,0.24,0.32,0.44,0.64,0.56
21-EBI-N17037-1.csv,0.38,0.28,0.34,0.34,0.3,0.36,0.66,0.64
21-EBI-N17037-2.csv,0.37254902,0.274509804,0.352941176,0.44,0.2,0.36,0.647058824,0.64
21-EBI-N17037-3.csv,0.28,0.38,0.34,0.4,0.28,0.32,0.66,0.68
21-EBI-N17040-1.csv,0.215686275,0.333333333,0.450980392,0.196078431,0.392156863,0.411764706,0.549019608,0.588235294
21-EBI-N17040-2.csv,0.204081633,0.387755102,0.408163265,0.183673469,0.326530612,0.489795918,0.591836735,0.510204081
21-EBI-N17040-3.csv,0.137254902,0.392156863,0.470588235,0.098039216,0.294117647,0.607843137,0.529411765,0.392156863
21-EBI-N17041-1.csv,0.16,0.42,0.42,0.1,0.44,0.46,0.58,0.54
21-EBI-N17041-2.csv,0.28,0.32,0.4,0.24,0.36,0.4,0.6,0.6
21-EBI-N17041-3.csv,0.2,0.26,0.54,0.14,0.22,0.64,0.46,0.36
21-EBI-N17044-1.csv,0.5,0.34,0.16,0.38,0.26,0.36,0.84,0.64
21-EBI-N17044-2.csv,0.387755102,0.448979592,0.163265306,0.387755102,0.285714286,0.326530612,0.836734694,0.673469388
21-EBI-N17044-3.csv,0.34,0.42,0.24,0.3,0.28,0.42,0.76,0.58
21-EBI-N17045-1.csv,0.04,0.38,0.58,0.08,0.3,0.62,0.42,0.38
21-EBI-N17045-2.csv,0.12,0.24,0.64,0.12,0.34,0.54,0.36,0.46
21-EBI-N17045-3.csv,0.08,0.32,0.6,0.14,0.26,0.6,0.4,0.4
21-EBI-N17047-1.csv,0.085365854,0.243902439,0.670731707,0.06,0.24,0.7,0.329268293,0.3
21-EBI-N17047-2.csv,0.020408163,0.244897959,0.734693878,0.102040816,0.244897959,0.653061224,0.265306122,0.346938775
21-EBI-N17047-3.csv,0.12,0.14,0.74,0.12,0.12,0.76,0.26,0.24
21-EBI-N18002-1.csv,0.775510204,0.204081633,0.020408163,0.8,0.08,0.12,0.979591837,0.88
21-EBI-N18002-2.csv,0.54,0.24,0.22,0.64,0.12,0.24,0.78,0.76
21-EBI-N18002-3.csv,0.64,0.22,0.14,0.725490196,0.156862745,0.117647059,0.86,0.882352941
21-EBI-N18010-1.csv,0.254901961,0.352941176,0.392156863,0.137254902,0.294117647,0.568627451,0.607843137,0.431372549
21-EBI-N18010-2.csv,0.274509804,0.215686275,0.509803922,0.215686275,0.352941176,0.431372549,0.490196079,0.568627451
21-EBI-N18010-3.csv,0.16,0.32,0.52,0.1,0.32,0.58,0.48,0.42
21-EBI-N18012-1.csv,0.274509804,0.294117647,0.431372549,0.31372549,0.352941176,0.333333333,0.568627451,0.666666666
21-EBI-N18012-2.csv,0.4,0.3,0.3,0.42,0.32,0.26,0.7,0.74
21-EBI-N18012-3.csv,0.34,0.24,0.42,0.28,0.3,0.42,0.58,0.58
21-EBI-N18026-1.csv,0.265306122,0.285714286,0.448979592,0.24,0.38,0.38,0.551020408,0.62
21-EBI-N18026-2.csv,0.428571429,0.244897959,0.326530612,0.44,0.26,0.3,0.673469388,0.7
21-EBI-N18026-3.csv,0.367346939,0.326530612,0.306122449,0.42,0.24,0.34,0.693877551,0.66
21-EBI-N18029-1.csv,0.28,0.26,0.46,0.28,0.24,0.48,0.54,0.52
21-EBI-N18029-2.csv,0.24,0.34,0.42,0.24,0.34,0.42,0.58,0.58
21-EBI-N18029-3.csv,0.163265306,0.367346939,0.469387755,0.244897959,0.265306122,0.489795918,0.530612245,0.510204081
21-EBI-N18033-1.csv,0.367346939,0.244897959,0.387755102,0.2,0.32,0.48,0.612244898,0.52
21-EBI-N18033-2.csv,0.2,0.26,0.54,0.204081633,0.306122449,0.489795918,0.46,0.510204082
21-EBI-N18033-3.csv,0.24,0.36,0.4,0.18,0.3,0.52,0.6,0.48
21-EBI-N18039-1.csv,0.24,0.44,0.32,0.28,0.32,0.4,0.68,0.6
21-EBI-N18039-2.csv,0.183673469,0.265306122,0.551020408,0.204081633,0.306122449,0.489795918,0.448979591,0.510204082
21-EBI-N18039-3.csv,0.24,0.44,0.32,0.32,0.16,0.52,0.68,0.48
21-EBI-N18042-1.csv,0.56,0.24,0.2,0.571428571,0.224489796,0.204081633,0.8,0.795918367
21-EBI-N18042-2.csv,0.54,0.16,0.3,0.52,0.24,0.24,0.7,0.76
21-EBI-N18042-3.csv,0.634615385,0.230769231,0.134615385,0.660377358,0.150943396,0.188679245,0.865384616,0.811320754
21-EBI-N18044-1.csv,0.6,0.2,0.2,0.47826087,0.260869565,0.260869565,0.8,0.739130435
21-EBI-N18044-2.csv,0.72,0.1,0.18,0.64,0.18,0.18,0.82,0.82
21-EBI-N18044-3.csv,0.653061224,0.163265306,0.183673469,0.673469388,0.142857143,0.183673469,0.81632653,0.816326531
21-EBI-N18049-1.csv,0.4,0.32,0.28,0.5,0.2,0.3,0.72,0.7
21-EBI-N18049-2.csv,0.4,0.26,0.34,0.46,0.3,0.24,0.66,0.76
21-EBI-N18049-3.csv,0.32,0.26,0.42,0.4,0.26,0.34,0.58,0.66
21-EBI-N18055-1.csv,0.62,0.2,0.18,0.64,0.18,0.18,0.82,0.82
21-EBI-N18055-2.csv,0.5,0.18,0.32,0.52,0.22,0.26,0.68,0.74
21-EBI-N18055-3.csv,0.54,0.32,0.14,0.74,0.14,0.12,0.86,0.88
21-EBI-Walton-1.csv,0.2,0.24,0.56,0.2,0.24,0.56,0.44,0.44
21-EBI-Walton-2.csv,0.115384615,0.173076923,0.711538462,0.153846154,0.134615385,0.711538462,0.288461538,0.288461539
21-EBI-Walton-3.csv,0.1,0.18,0.72,0.1,0.16,0.74,0.28,0.26
