,Year,Location,NC_Accession,Plot,pod_area,pod_length,lw_ratio,pod_per,pod_width,Block
0,2021.0,LEW,20IL-1,1190.0,376.1691421,35.18910845,2.453646877,84.12874053,14.494734,1
1,2021.0,LEW,20IL-1,2149.0,395.3222366,35.43140226,2.399593914,84.70315219,14.8725918,2
2,2021.0,LEW,20IL-10,1148.0,251.1283303,26.20782994,2.088745077,65.08688901,12.56485012,1
3,2021.0,LEW,20IL-10,2016.0,270.0644544,27.36304519,2.104414652,67.85944871,12.98766901,2
4,2021.0,LEW,20IL-13,2031.0,279.8506601,28.95073134,2.294681522,69.96077054,12.76464151,2
5,2021.0,LEW,20IL-13,1232.0,248.3775476,27.3394442,2.27810818,66.59038214,12.1381752,1
6,2021.0,LEW,20IL-16,1155.0,395.7182734,34.86930199,2.309637365,84.539994,15.1847314,1
7,2021.0,LEW,20IL-16,2189.0,352.0422523,31.90350103,2.169308453,78.34220865,14.79669672,2
8,2021.0,LEW,20IL-17,2246.0,369.2580952,32.16930182,2.103834264,79.86691247,15.37515559,2
9,2021.0,LEW,20IL-17,1048.0,383.1015934,33.38139041,2.181775171,82.57053393,15.50294735,1
10,2021.0,LEW,20IL-18,1057.0,319.9714459,32.550402,2.435374597,77.88047442,13.47971592,1
11,2021.0,LEW,20IL-18,2132.0,344.6653028,33.59371372,2.460441956,80.21513318,13.75713998,2
12,2021.0,LEW,20IL-19,1228.0,282.9256743,28.7186725,2.171158215,70.56289194,13.32129523,1
13,2021.0,LEW,20IL-19,2142.0,292.6356946,28.47403245,2.096617514,71.09469759,13.66766491,2
14,2021.0,LEW,20IL-2,2253.0,371.5363455,32.99386712,2.210432714,81.00119608,15.10012848,2
15,2021.0,LEW,20IL-2,1067.0,356.0081265,32.25837752,2.195355568,79.11116947,14.79059661,1
16,2021.0,LEW,20IL-22,2204.0,256.0862099,26.20113582,2.034486039,65.87977621,12.93321348,2
17,2021.0,LEW,20IL-22,1111.0,236.303612,25.22844253,2.043429037,63.09869505,12.38517852,1
18,2021.0,LEW,20IL-24,2144.0,319.8443373,30.87652086,2.242776685,75.1879506,13.85748528,2
19,2021.0,LEW,20IL-24,1106.0,298.3052676,29.69513681,2.219137773,72.61627052,13.51947376,1
20,2021.0,LEW,20IL-25,2231.0,354.0255922,34.23014567,2.480925691,81.53146213,13.86890265,2
21,2021.0,LEW,20IL-25,1195.0,362.1597718,34.62977319,2.479670039,82.42149613,14.05685789,1
22,2021.0,LEW,20IL-26,2183.0,379.3067973,34.65231377,2.376108752,83.20026049,14.65840465,2
23,2021.0,LEW,20IL-26,1066.0,371.4296869,34.15062802,2.350215653,82.02391621,14.58335349,1
24,2021.0,LEW,20IL-27,1206.0,270.4049778,29.26661755,2.380130291,70.22192513,12.37479023,1
25,2021.0,LEW,20IL-27,2194.0,306.9939665,31.68122847,2.468763562,75.23323511,12.97401906,2
26,2021.0,LEW,20IL-29,2008.0,349.6521953,32.86450734,2.3117228,79.81658165,14.34976425,2
28,2021.0,LEW,20IL-3,1223.0,376.1583906,34.41708856,2.34845446,83.39931096,14.84513365,1
29,2021.0,LEW,20IL-3,2163.0,377.6861074,34.18425494,2.310820238,82.8713372,14.91650086,2
30,2021.0,LEW,20IL-30,2155.0,307.4872023,29.56529149,2.174317002,72.64098933,13.55593892,2
31,2021.0,LEW,20IL-30,1008.0,251.4835973,26.11067534,2.051448198,65.35032651,12.75963391,1
32,2021.0,LEW,20IL-31,2028.0,382.783547,35.8528908,2.481513768,85.67954054,14.58593143,2
33,2021.0,LEW,20IL-31,1192.0,424.1620478,38.3422887,2.571753616,90.90365517,15.03236159,1
34,2021.0,LEW,20IL-32,2244.0,336.8825227,30.63421216,2.111088039,76.067622,14.65816681,2
35,2021.0,LEW,20IL-32,1079.0,353.979934,32.19040199,2.200575141,78.78877696,14.72916014,1
36,2021.0,LEW,20IL-33,2078.0,348.5440887,31.69841017,2.139997399,78.35889398,14.89313836,2
37,2021.0,LEW,20IL-33,1050.0,364.9348151,33.30901239,2.265774261,81.22534512,14.89856969,1
38,2021.0,LEW,20IL-4,1169.0,362.9189267,31.63467254,2.091415721,78.93507861,15.24149706,1
39,2021.0,LEW,20IL-4,2196.0,355.4255273,30.63304757,2.003833479,77.35766082,15.40897542,2
40,2021.0,LEW,20IL-5,2125.0,360.6667242,33.47578603,2.33214304,81.1328429,14.43246151,2
41,2021.0,LEW,20IL-5,1102.0,367.9129325,34.50360357,2.397498874,82.88879897,14.49841123,1
42,2021.0,LEW,20IL-6,2130.0,329.1299597,31.98946847,2.334125217,76.57740059,13.76962975,2
43,2021.0,LEW,20IL-6,1017.0,301.2885235,29.84032106,2.225162818,73.01292721,13.48233081,1
44,2021.0,LEW,20IL-7,2250.0,357.8387598,33.99058887,2.403223793,81.68314426,14.23172986,2
45,2021.0,LEW,20IL-7,1086.0,411.2228381,36.97773658,2.489065275,87.52184818,15.009308,1
46,2021.0,LEW,20IL-8,1174.0,284.2926279,29.37406617,2.288484206,71.40940911,12.92455821,1
47,2021.0,LEW,20IL-8,2156.0,249.7123257,26.94029758,2.188460433,66.2174309,12.39502076,2
48,2021.0,LEW,20IL-9,1177.0,382.6527931,34.74966441,2.343032953,84.11459842,14.95903763,1
49,2021.0,LEW,20IL-9,2075.0,380.3251998,33.24145501,2.180169044,81.80630629,15.37703719,2
50,2021.0,LEW,Bailey,1165.0,355.1435697,33.16648569,2.346921639,80.10708828,14.30981764,1
51,2021.0,LEW,Bailey,2121.0,355.8485938,33.63485798,2.381916683,81.13710328,14.22813699,2
52,2021.0,LEW,Bailey II,2202.0,371.6228223,35.89633391,2.554060807,84.64566541,14.10066064,2
53,2021.0,LEW,Bailey II,1140.0,357.799331,34.7128919,2.51671773,82.09140096,13.94280188,1
54,2021.0,LEW,Bailey II - Clones,2044.0,381.9919865,36.72690405,2.617220784,86.2348835,14.14139202,2
55,2021.0,LEW,Bailey II - Clones,1076.0,349.7847844,35.01079696,2.600264483,82.40145177,13.55590006,1
56,2021.0,LEW,Comrade,1065.0,416.0127786,36.79657,2.424120396,87.49277481,15.19476628,1
57,2021.0,LEW,Comrade,2153.0,404.9269586,36.980453,2.527240648,87.75103695,14.77342313,2
58,2021.0,LEW,Emery,2050.0,412.120889,37.58052904,2.563285353,88.62504037,14.81352198,2
59,2021.0,LEW,Emery,1056.0,423.6025871,37.92597148,2.537695921,89.61305216,15.1214628,1
60,2021.0,LEW,GP-NC 343,1187.0,335.3754474,32.28190501,2.342530729,77.85831342,13.92615143,1
61,2021.0,LEW,GP-NC 343,2216.0,396.0608871,36.12011039,2.466856542,85.92781294,14.78464978,2
62,2021.0,LEW,Gregory,2240.0,409.6877086,36.33420527,2.411374317,87.40300512,15.19216257,2
63,2021.0,LEW,Gregory,1136.0,407.2389702,35.07604066,2.303906523,85.43360449,15.36864564,1
64,2021.0,LEW,HTS 16-02,1141.0,240.524194,27.23199582,2.31010172,65.52081737,11.82991918,1
65,2021.0,LEW,HTS 16-02,2243.0,209.4299746,25.15679462,2.253404615,61.20892784,11.22390736,2
66,2021.0,LEW,HTS 16-03,1129.0,333.0436927,30.52847454,2.134390899,75.40867194,14.35336587,1
67,2021.0,LEW,HTS 16-03,2247.0,229.946559,25.25501532,2.102291126,63.03428473,12.11346958,2
68,2021.0,LEW,HTS 16-04,1171.0,360.4281255,33.12782838,2.304543582,80.36024079,14.47078434,1
69,2021.0,LEW,HTS 16-04,2106.0,331.4084019,31.1981788,2.216572684,76.68769033,14.19994237,2
70,2021.0,LEW,HTS 16-05,2002.0,452.6748177,36.70733383,2.289787539,89.3169379,16.18842003,2
72,2021.0,LEW,HTS 16-06,1127.0,369.7780326,34.68689325,2.42315131,82.98343172,14.48271128,1
73,2021.0,LEW,HTS 16-06,2018.0,378.1105669,35.40845246,2.468355491,84.02550074,14.490152,2
74,2021.0,LEW,HTS 20-01,1255.0,334.9539053,32.39104896,2.360990537,77.80703888,13.75118995,1
75,2021.0,LEW,HTS 20-01,2081.0,352.2381705,33.08891989,2.333185201,79.6918586,14.20855101,2
76,2021.0,LEW,HTS 20-02,1213.0,264.6920009,28.4042624,2.303476494,68.85172335,12.37505627,1
77,2021.0,LEW,HTS 20-02,2094.0,273.5596388,28.19568468,2.230598062,68.62735896,12.77461263,2
78,2021.0,LEW,HTS 20-03,2252.0,361.0064629,32.97378878,2.249224442,80.72546776,14.71435789,2
79,2021.0,LEW,HTS 20-03,1158.0,320.1156911,30.37102374,2.176636629,74.83683773,14.09652072,1
80,2021.0,LEW,HTS 20-04,2143.0,408.4001785,37.81629766,2.614826771,89.36617715,14.59718306,2
81,2021.0,LEW,HTS 20-04,1060.0,423.2828153,38.67558481,2.602759767,90.79285292,14.97681782,1
82,2021.0,LEW,HTS 20-05,1152.0,496.2777582,39.44054149,2.354943301,94.91760336,17.00131021,1
83,2021.0,LEW,HTS 20-05,2086.0,472.0421584,38.69117596,2.356057034,93.17351974,16.55264668,2
84,2021.0,LEW,HTS 20-06,2062.0,252.3079638,27.72927677,2.293928477,67.09055207,12.16014038,2
85,2021.0,LEW,HTS 20-06,1210.0,261.2605282,28.31811042,2.33082203,68.50349831,12.23948354,1
86,2021.0,LEW,HTS IL-02,2233.0,395.1181097,34.4262584,2.257656931,84.09287111,15.32175365,2
87,2021.0,LEW,HTS IL-02,1083.0,362.7575683,33.01654669,2.246065924,80.72759976,14.81566157,1
88,2021.0,LEW,HTS IL-09,2064.0,224.7760223,25.71079099,2.219531359,62.88718548,11.6568953,2
89,2021.0,LEW,HTS IL-09,1081.0,219.3626784,25.18426358,2.195319577,61.89180817,11.54450441,1
90,2021.0,LEW,HTS IL-10,2139.0,240.6584743,25.10600644,1.966405947,63.48177363,12.846817,2
91,2021.0,LEW,HTS IL-10,1077.0,242.7336358,25.70001051,2.061011086,64.00670924,12.56110898,1
92,2021.0,LEW,HTS IL-13,2135.0,320.6455388,31.39721389,2.347645454,76.0167001,13.469774,2
93,2021.0,LEW,HTS IL-13,1212.0,340.0063957,32.90671065,2.385912992,79.43654031,13.84448859,1
94,2021.0,LEW,HTS IL-16,1225.0,216.6969875,24.8495293,2.16272696,61.12667555,11.53443162,1
95,2021.0,LEW,HTS IL-16,2001.0,283.2322031,28.65687857,2.198295413,70.17533045,13.07204956,2
96,2021.0,LEW,HTS IL-19,1156.0,230.4160845,26.17103816,2.208077757,63.92009939,11.91694152,1
97,2021.0,LEW,HTS IL-19,2164.0,224.7624367,25.34605465,2.134424119,62.51916637,11.91607193,2
98,2021.0,LEW,HTS IL-21,2100.0,351.0265431,31.15787749,2.122487265,77.09852805,14.69755423,2
99,2021.0,LEW,HTS IL-21,1061.0,338.1158659,30.80381739,2.152867129,75.72145888,14.27805415,1
100,2021.0,LEW,HTS IL-22,1260.0,349.8400193,31.89646173,2.198691042,78.43497289,14.55346386,1
101,2021.0,LEW,HTS IL-22,2160.0,366.3981396,33.06458859,2.248424397,80.63803006,14.80497253,2
102,2021.0,LEW,HTS IL-25,1007.0,235.2439343,26.38989832,2.267130325,64.06321174,11.68708648,1
103,2021.0,LEW,HTS IL-25,2015.0,274.1936105,28.93856662,2.314211607,69.81226942,12.58967769,2
104,2021.0,LEW,HTS IL-28,2088.0,295.9727561,30.11303315,2.354285357,72.41536299,12.91627151,2
105,2021.0,LEW,HTS IL-28,1082.0,260.4491259,27.60675161,2.206841504,67.62735046,12.55854436,1
106,2021.0,LEW,HTS IL-29,2256.0,197.7434634,24.51463909,2.264320745,59.16684277,10.8949407,2
107,2021.0,LEW,HTS IL-29,1200.0,185.7022075,23.68104252,2.247067171,57.34616636,10.61907797,1
108,2021.0,LEW,HTS IL-30,2185.0,326.5750907,31.17934703,2.242734308,76.12991732,14.04078604,2
109,2021.0,LEW,HTS IL-30,1045.0,331.6979889,31.0597404,2.184510335,76.58699917,14.28603075,1
110,2021.0,LEW,HTS IL-33,2077.0,350.176144,33.66120004,2.399042045,80.58190027,14.14929757,2
111,2021.0,LEW,HTS IL-33,1078.0,343.1332158,32.50637463,2.288306682,79.15307305,14.29780542,1
112,2021.0,LEW,HTS IL-34,2055.0,316.1994663,32.23670029,2.444664217,77.38560719,13.26819023,2
113,2021.0,LEW,HTS IL-34,1018.0,313.9026872,31.84995205,2.393804525,76.63448327,13.340099,1
114,2021.0,LEW,HTS IL-37,2093.0,301.9415952,30.9609447,2.392890452,74.07628312,13.02898732,2
115,2021.0,LEW,HTS IL-37,1186.0,272.8900135,28.73918616,2.26495479,69.5360745,12.7507821,1
116,2021.0,LEW,HTS IL-38,2234.0,287.7984849,29.39365753,2.322381157,71.01023389,12.65615111,2
117,2021.0,LEW,HTS IL-38,1167.0,226.6522602,25.72446808,2.259888444,62.64265418,11.50239945,1
118,2021.0,LEW,HTS IL-39,1143.0,278.7036716,28.32185089,2.191337202,69.38497554,12.86471925,1
119,2021.0,LEW,HTS IL-39,2057.0,224.8619864,25.1129334,2.107797011,62.14248506,11.9935462,2
120,2021.0,LEW,HTS IL-40,2249.0,378.5863,35.10030123,2.409017205,84.45931145,14.69266741,2
121,2021.0,LEW,HTS IL-40,1087.0,372.085132,34.26274155,2.321236799,82.77878459,14.87586227,1
122,2021.0,LEW,HTS IL-41,2255.0,307.0994928,31.72936145,2.422507643,76.25629719,13.17502982,2
123,2021.0,LEW,HTS IL-41,1055.0,326.694211,32.68778991,2.436864825,78.29692721,13.48053231,1
124,2021.0,LEW,HTS IL-43,2205.0,399.1468873,34.14107948,2.194659291,83.89238262,15.66979859,2
125,2021.0,LEW,HTS IL-43,1113.0,361.6183067,32.61504747,2.21375687,79.82213227,14.9039451,1
126,2021.0,LEW,HTS IL-44,2140.0,370.3370214,35.08593073,2.494267361,83.35909482,14.19062732,2
127,2021.0,LEW,HTS IL-44,1029.0,277.5737207,30.22121911,2.43684505,72.38520351,12.48442349,1
128,2021.0,LEW,HTS IL-46,2206.0,251.6406416,26.85282883,2.183911354,65.80191473,12.31202916,2
129,2021.0,LEW,HTS IL-46,1037.0,203.6601003,23.59881478,2.04949175,58.78620528,11.57716469,1
130,2021.0,LEW,HTS IL-47,2052.0,467.6922745,39.89116441,2.513168008,94.50393475,15.96996229,2
131,2021.0,LEW,HTS IL-47,1151.0,449.7971172,40.77984118,2.65612098,94.73988207,15.44907118,1
132,2021.0,LEW,HTS IL-49,2241.0,318.4125838,32.80577903,2.51271905,77.73129864,13.22798897,2
133,2021.0,LEW,HTS IL-49,1161.0,309.4381561,32.75919669,2.587924567,76.86017567,12.74992989,1
134,2021.0,LEW,HTS IL-50,1064.0,389.6902346,34.92729624,2.352392521,84.63920465,15.0291803,1
135,2021.0,LEW,HTS IL-50,2122.0,307.1305752,30.09270506,2.199959403,73.80496015,13.80425555,2
136,2021.0,LEW,HTS IL-51,2193.0,344.9673922,33.88189175,2.47432921,80.7607852,13.85371962,2
137,2021.0,LEW,HTS IL-51,1247.0,360.2372078,35.08699553,2.55712589,82.99491684,13.84519492,1
138,2021.0,LEW,HTS IL-52,1219.0,309.7655253,32.05829224,2.457728288,76.49993986,13.21353724,1
139,2021.0,LEW,HTS IL-52,2074.0,300.0507743,31.17296132,2.417692484,74.62950851,12.98821343,2
140,2021.0,LEW,HTS IL-53,2265.0,301.7250163,29.48680212,2.166132305,72.87586307,13.7091711,2
141,2021.0,LEW,HTS IL-53,1030.0,350.7904737,31.5048218,2.14645742,77.73700709,14.84706172,1
142,2021.0,LEW,HTS IL-54,2101.0,407.2279736,36.81539577,2.501917775,87.50237899,14.88544811,2
143,2021.0,LEW,HTS IL-54,1026.0,315.4704685,30.15064016,2.19704955,74.25550199,13.8531226,1
144,2021.0,LEW,HTS IL-55,2051.0,228.0628172,26.18622821,2.260370758,63.66462969,11.67596491,2
145,2021.0,LEW,HTS IL-55,1038.0,224.3088051,25.61149649,2.202269332,62.44051163,11.69361729,1
146,2021.0,LEW,HTS IL-56,1163.0,327.1110734,31.65464893,2.315889438,76.92499275,13.78935613,1
147,2021.0,LEW,HTS IL-56,2154.0,328.5802843,32.42724478,2.399916554,77.82971828,13.53871425,2
148,2021.0,LEW,HTS IL-58,2188.0,202.3921366,24.34899657,2.200730757,59.46463401,11.1325415,2
